Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bangladesh,BGD,441.4479497,454.7788023,465.4145746,449.5652819,484.0421123,477.308985,475.2219431,452.4976973,480.7963712,472.8401935,487.0283056,454.724465,385.7079374,388.4627738,415.2016959,388.8845857,401.8643021,403.3247882,421.7629482,431.7579372,424.8097167,443.7752395,440.9605392,445.5458445,454.5222626,457.8429587,465.7263334,472.625754,473.682147,476.8794102,493.0950726,500.4938198,518.1098437,532.2527199,542.4544466,559.6892306,574.8358194,590.0027887,609.0135627,625.363854,646.0377635,666.0677553,678.8675089,698.7320856,723.2278384,758.8899732,799.7814748,847.2819482,890.2961672,927.0180869,967.5610807,1017.627731,1070.595164,1120.685334,1173.893,1236.004392,1307.732328,1376.603526,1460.304228,1557.964327,1593.3474,1684.433479,1784.73888
Bulgaria,BGR,,,,,,,,,,,,,,,,,,,,,3431.521297,3587.694781,3660.607292,3776.740823,3895.889721,4000.492544,4169.923055,4415.890658,4893.694038,4788.396879,4431.028876,4097.19211,3840.246382,3813.702078,3896.244277,4025.645827,4257.0951,3678.516598,3843.4622,3540.55608,3721.303491,3941.275691,4264.271701,4523.286223,4854.273387,5236.086372,5634.911209,6054.232485,6470.589734,6294.433392,6434.552431,6611.303845,6699.503001,6700.535988,6802.710324,7078.860323,7344.443503,7601.438474,7862.86183,8237.926783,7958.82684,8638.718376,9550.94255
Bahrain,BHR,,,,,,,,,,,,,,,,,,,,,21290.94332,19366.61397,17281.13169,17758.34752,18004.39394,16549.30854,16156.62215,17210.96495,17776.69734,17234.79321,17405.8852,18709.79574,19275.4815,21024.96862,20283.08741,20403.37053,20576.51539,20566.55701,20915.83341,21195.90078,21713.53805,21681.0283,21866.04923,22348.90481,22325.70308,22027.33131,21783.85153,22013.75842,21918.00506,21157.79342,21452.92152,21906.74643,22484.85482,23012.70834,23107.95659,22795.44886,22810.77492,23019.25574,23023.11978,23414.21907,22579.36201,23407.19585,24395.47247
"Bahamas, The",BHS,19072.90474,20103.81932,21134.58752,22243.33443,23490.75841,24853.85845,25948.80558,27203.6483,28200.66447,29436.74633,26783.84404,26436.40977,24871.822,26148.34018,21304.67065,17781.02783,18320.49995,19576.18202,21886.06434,27052.08638,28252.2014,25172.57984,26370.56849,26810.01411,30027.99773,30867.70239,30812.37433,31134.37398,31262.28495,32731.88247,31592.29294,29681.33631,27947.04071,27430.79298,27733.19184,28410.5559,29088.15717,28965.19003,29828.74583,31473.36902,32300.76587,32685.1793,33129.48361,32276.71951,32125.04387,32765.74467,33127.42255,33136.48773,31908.93208,30139.45317,30175.63898,29984.88412,30577.73381,29426.02269,29701.45803,29724.95334,29253.89133,29763.50484,30412.13282,29988.16535,22830.5036,26614.18992,30283.89699
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,647.4811662,784.6187007,1422.946542,1846.152523,2099.243419,2279.743702,2554.564127,2606.750388,2735.535289,2851.273553,3061.551427,3218.594203,3423.123984,3669.016795,3932.015323,3878.440467,3980.442307,4091.581885,4133.902724,4297.493496,4403.673915,4654.60862,4865.351291,5082.997254,5339.477068,5558.08144,5459.219629,5947.819318,6263.702073
Belarus,BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2890.53984,2854.536227,2574.837815,2373.903393,2098.635644,1886.487655,1945.849499,2176.704154,2370.199319,2461.840201,2616.927182,2754.679408,2912.139153,3139.138008,3522.508951,3880.03541,4294.251954,4685.005695,5180.740438,5203.883103,5621.967658,5938.252882,6047.903925,6110.937801,6212.935779,5967.06856,5811.25054,5964.914363,6165.957887,6267.765139,6252.008819,6457.75127,6204.096662
Belize,BLZ,1558.791461,1593.999864,1629.731855,1664.242945,1697.487597,1729.092008,1757.536191,1788.459135,1863.126615,1903.235521,1949.201706,1990.392287,2159.340427,2242.254975,2511.758459,2558.615277,2506.578801,2616.261191,2767.602839,2915.007914,3231.273713,3188.146526,3108.547259,2970.89337,2959.909143,2921.91687,2985.952707,3233.230078,3471.778362,3838.284269,4112.335135,4501.236626,4972.206393,5171.997426,5060.49018,4968.793189,4873.270304,4909.383085,4923.842544,5206.651843,5657.456684,5755.757007,5879.604207,6252.220718,6355.399593,6305.35056,6399.145911,6422.304327,6147.690927,5954.405582,5879.733301,5729.992057,5807.263053,5930.732391,6034.402196,6098.60008,5974.37917,5750.503569,5699.062802,5833.173562,4957.943868,5768.908388,6191.662837
Bermuda,BMU,37935.8868,38751.23323,39527.7963,39029.44774,42301.43241,43253.54393,48593.39054,53985.64048,54082.13914,54904.69426,57309.15837,59713.44026,61244.53704,62615.31535,63637.71536,66534.04059,72208.73162,76180.80129,76999.15781,78360.68704,83239.53461,84633.16048,79583.13396,80483.73501,80164.5663,77902.65419,82395.27318,84794.99688,87481.3788,87131.94941,86436.23431,83812.1328,84371.03566,86444.67822,86361.95281,89518.27764,91261.15148,94878.49225,97857.32328,100602.9275,109001.586,115619.4747,113172.1206,116268.8169,118193.1487,119396.4494,125294.9594,128757.8807,125610.0334,117886.738,115839.796,112471.3475,106119.795,105492.4807,101374.4698,102005.6256,102407.3944,107237.0318,106697.7375,107036.2393,99745.24161,102959.2549,106359.9705
Bolivia,BOL,1275.17751,1275.255664,1318.736794,1379.257393,1404.030314,1442.2216,1513.080243,1574.507107,1672.215899,1709.316316,1759.665165,1808.314082,1909.408774,1974.330122,1987.16265,2085.031682,2132.759011,2188.880465,2184.048699,2138.528355,2062.969046,2023.879744,1902.585892,1787.052727,1746.009487,1680.794018,1603.296965,1608.403557,1620.501037,1646.809164,1687.442724,1739.85461,1732.739116,1770.776899,1817.473402,1866.652933,1912.002259,1970.168081,2031.972206,2003.861308,2017.394609,2015.377479,2029.617944,2048.559818,2097.258353,2152.36197,2216.544709,2277.503826,2376.078089,2414.129945,2471.473633,2556.830269,2643.690816,2777.720532,2882.806896,2975.648811,3054.892548,3135.031646,3219.200892,3242.948845,2920.197447,3061.899296,3134.766321
Brazil,BRA,2578.429025,2717.001627,2811.627433,2746.51375,2758.863289,2746.258042,2850.901346,2892.684245,3095.221911,3304.856271,3558.852333,3866.38544,4224.196161,4699.439689,4962.922366,5097.708332,5489.980064,5626.716996,5768.426216,6014.867353,6415.637813,6001.64499,5914.565078,5613.611519,5788.087171,6110.358401,6433.497982,6528.623469,6399.484368,6479.069096,6086.077553,6043.432634,5911.687023,6103.377215,6358.678787,6524.518853,6567.352461,6689.199377,6613.983181,6551.226671,6745.857771,6749.881603,6868.695907,6865.17325,7178.347485,7325.90355,7534.5425,7909.825247,8231.100373,8142.761048,8673.898383,8935.277314,9025.313996,9216.13228,9183.459727,8783.215424,8426.843221,8470.940604,8553.865902,8592.211207,8255.568013,8621.731582,8831.127729
Barbados,BRB,,,,,,,,,,,,,,,11599.19553,11321.75328,11755.03433,12119.54364,12642.44761,13568.69204,14092.7504,13764.82326,13041.16309,13062.43596,13492.02055,13606.77057,14275.87627,14629.67859,15136.1847,15681.26915,15156.21212,14535.15046,13665.06393,13732.11607,13969.86134,14219.10438,14756.95682,15431.14345,15981.1102,16002.54331,16683.45065,16244.61607,16306.28792,16596.00311,16767.21457,17367.56328,18352.95942,18664.2189,18703.93355,17687.10468,17227.33264,17050.34407,16954.45629,16693.80757,16655.83928,17023.69436,17419.78888,17466.65254,17283.37792,17298.5068,15067.43698,14922.52908,16588.14881
Brunei Darussalam,BRN,,,,,,,,,,,,,,,43472.23371,42167.82688,49005.99506,52604.30875,54378.18829,64531.89095,58110.13281,45105.92141,45364.20248,44077.33344,42863.07905,40810.34863,38372.6178,37843.18985,37010.27183,35445.47514,34722.5917,34762.23475,35424.54698,34621.76833,34827.33404,35515.84325,35690.98458,34377.85758,33445.12083,33739.49374,33985.81548,34219.3106,34857.3932,35202.78909,34750.57363,34290.11077,35213.21843,34714.54022,33526.00264,32449.83033,32810.50364,33577.06043,33456.26529,32341.88901,31155.74411,30681.43397,29601.0965,29695.88082,29437.86518,30313.41386,30401.84383,29673.16588,28954.06409
Bhutan,BTN,,,,,,,,,,,,,,,,,,,,,393.6371413,439.0143944,440.1901412,471.3622832,478.0270808,482.5434132,521.7687895,653.8791902,665.5966348,694.652349,747.2360426,732.0391993,796.2476615,851.2080544,892.6324124,944.4075556,978.49497,1013.40931,1053.54196,1110.067304,1115.625334,1176.653268,1272.631803,1338.508646,1385.39643,1456.479788,1535.427874,1795.071788,1859.070447,1961.938759,2171.9098,2319.590936,2411.896403,2436.85978,2551.483073,2695.636924,2889.493887,2998.473207,3079.143963,3233.597889,2884.208737,2992.439287,
Botswana,BWA,396.3960229,412.2657437,429.89234,444.8858837,464.0961685,483.5950414,510.8032937,537.4498274,590.2322574,674.7681385,782.9417105,965.7100035,1176.545717,1360.642838,1406.878745,1449.496291,1523.276536,1620.526892,1760.249429,1876.647298,2000.663608,2083.951235,2245.480275,2450.367214,2566.712311,2654.135854,2772.310648,2997.258411,3464.095022,3794.932195,3931.730226,4105.298633,4105.765612,4065.487566,4097.306516,4271.470886,4410.388944,4667.885911,4585.674131,4922.373897,4917.232089,4831.783762,5030.265216,5171.541253,5219.414504,5360.019176,5700.219856,5913.069931,5982.661964,5031.983614,5428.296158,5684.357892,5566.681785,6067.998437,6291.271811,5869.737579,6166.239927,6287.834749,6418.706354,6485.568198,5810.898476,6395.139663,6657.585089
Central African Republic,CAF,583.648968,601.5881673,568.5629995,553.8283402,554.2780247,548.1902908,540.13401,553.0932213,548.2533679,573.6965844,574.0636177,568.4887236,557.2944764,556.8854858,580.7094667,571.6697629,593.776778,610.1402434,611.2779909,590.1301465,557.8779777,543.4712302,579.0879675,526.1725964,569.5704495,585.0904821,598.8575834,562.3233812,562.9772821,560.0150989,531.3860052,512.25184,464.3354633,451.1999352,458.6545236,478.3438948,447.3506307,458.1338353,466.6341085,470.1683589,445.803293,455.3383802,461.4980856,426.1595808,442.0152361,436.1002651,447.8081065,459.7460664,459.5624572,488.388025,500.5292774,513.5942668,534.8835626,338.1657058,338.7003848,351.8797548,362.2183312,371.603131,378.2630778,381.4140464,375.2169241,370.980373,364.6907534
